Student ID,Rank,Course,Success Prob,Fit Score,Prereq Met,Grad Priority,Final Score
S018,13,Accounting: Get Hired Without Work Experience,0.681,0.532,✓,0.998,0.8346
S018,14,Option Trading for Rookies: Basic Option Strategie,0.677,0.533,✓,0.998,0.8324
S018,15,Python for Trading & Investing,0.671,0.524,✓,0.998,0.8315
S1189,1,Logo Design in Adobe Illustrator - for Beginners &,0.587,0.764,✓,0.994,0.8401
S1189,2,Learn HTML5 Programming From Scratch,0.555,0.795,✓,0.990,0.8275
S1189,3,Stock Trading Ninja: Complete System For Trading S,0.590,0.733,✓,0.990,0.8261
S1189,4,Projects in CSS,0.586,0.731,✓,0.993,0.8257
S1189,5,Three Steps Trading - Live Trading - Real Account,0.590,0.697,✓,0.990,0.8237
S1189,6,Zend Framework 2: Learn the PHP framework ZF2 from,0.588,0.704,✓,0.991,0.8228
S1189,7,Play Piano 4: Improvise on popular song Yesterday ,0.586,0.695,✓,0.995,0.8203
S1189,8,The Complete HMTL5 Course - Go From Beginner To Ad,0.590,0.703,✓,0.989,0.8202
S1189,9,Master Class Piano Techniques: Tips To EZ Coordina,0.587,0.695,✓,0.995,0.8193
S1189,10,So you think you know JavaScript?,0.584,0.697,✓,0.991,0.8170
S1189,11,Clipping Masks & Shaped images in Adobe Photoshop ,0.588,0.672,✓,0.990,0.8164
S1189,12,Play Piano 7: Improvise on For All We Know in F Ke,0.589,0.687,✓,0.993,0.8164
S1189,13,How to Create Your Personal Budget,0.589,0.672,✓,0.993,0.8164
S1189,14,Trading News Using Binary Options,0.594,0.675,✓,0.991,0.8142
S1189,15,Life Coach Business Basics: Finance and Operations,0.591,0.675,✓,0.992,0.8139
